angle_rad, radius_px
0.000000000000000000e+00,4.729133864766972692e+02
3.067961575771282340e-03,4.695816506880065617e+02
6.135923151542564680e-03,4.661684026590784242e+02
9.203884727313847020e-03,4.617891521252363418e+02
1.227184630308512936e-02,4.584290937591148349e+02
1.533980787885641170e-02,4.541075630736683593e+02
1.840776945462769404e-02,4.488342955078114187e+02
2.147573103039897638e-02,4.445758809116733232e+02
2.454369260617025872e-02,4.422986873523810232e+02
2.761165418194154106e-02,4.380948426942752576e+02
3.067961575771282340e-02,4.358553870364359000e+02
3.374757733348410227e-02,4.336411060533723116e+02
3.681553890925538808e-02,4.324104593026774523e+02
3.988350048502667389e-02,4.311798125519826499e+02
4.295146206079795276e-02,4.303118045105897522e+02
4.601942363656923163e-02,4.303735561750885950e+02
4.908738521234051744e-02,4.304353078395874377e+02
5.215534678811180325e-02,4.301791327099296041e+02
5.522330836388308212e-02,4.295699068162565482e+02
5.829126993965436099e-02,4.296455210764998469e+02
6.135923151542564680e-02,4.299841461699659249e+02
6.442719309119693261e-02,4.308089175710108520e+02
6.749515466696820454e-02,4.308968735967238217e+02
7.056311624273949035e-02,4.312903199288333553e+02
7.363107781851077616e-02,4.328220240807750656e+02
7.669903939428206197e-02,4.333172445930157437e+02
7.976700097005334777e-02,4.354288569063031105e+02
8.283496254582461971e-02,4.364162012428650996e+02
8.590292412159590552e-02,4.397947717787737361e+02
8.897088569736719132e-02,4.425225061233211363e+02
9.203884727313846326e-02,4.472485890913656590e+02
9.510680884890974907e-02,4.539219928372206709e+02
9.817477042468103487e-02,4.600753790919433186e+02
1.012427320004523207e-01,4.625836505863771322e+02
1.043106935762236065e-01,4.655508996738266774e+02
1.073786551519948784e-01,4.689134019895136021e+02
1.104466167277661642e-01,4.727361607788331526e+02
1.135145783035374500e-01,4.766288808675866449e+02
1.165825398793087220e-01,4.805504171262081172e+02
1.196505014550800078e-01,4.836178364354049108e+02
1.227184630308512936e-01,4.851109852150160009e+02
1.257864246066225655e-01,4.874410055114149714e+02
1.288543861823938652e-01,4.897710258078139987e+02
1.319223477581651371e-01,4.901891297438663173e+02
1.349903093339364091e-01,4.904048512466470697e+02
1.380582709097077088e-01,4.906205727494278790e+02
1.411262324854789807e-01,4.908362942522086314e+02
1.441941940612502804e-01,4.910520157549893838e+02
1.472621556370215523e-01,4.912677372577701931e+02
1.503301172127928242e-01,4.914834587605509455e+02
1.533980787885641239e-01,4.916991802633317548e+02
1.564660403643353959e-01,4.914428155033638177e+02
1.595340019401066955e-01,4.911503659468106662e+02
1.626019635158779675e-01,4.903820149489329197e+02
1.656699250916492394e-01,4.899375930198128231e+02
1.687378866674205391e-01,4.888744720061683324e+02
1.718058482431918110e-01,4.878113509925238986e+02
1.748738098189630830e-01,4.858931832243750364e+02
1.779417713947343826e-01,4.839934899631809913e+02
1.810097329705056546e-01,4.812470967625486651e+02
1.840776945462769265e-01,4.785168298952923465e+02
1.871456561220482262e-01,4.758025086361295166e+02
1.902136176978194981e-01,4.713954853291650124e+02
1.932815792735907978e-01,4.691168669708420680e+02
1.963495408493620697e-01,4.652023873087840116e+02
1.994175024251333417e-01,4.599451196446648282e+02
2.024854640009046414e-01,4.556889052304962320e+02
2.055534255766759133e-01,4.513026917805473204e+02
2.086213871524472130e-01,4.462690294619162614e+02
2.116893487282184849e-01,4.431455994404132070e+02
2.147573103039897569e-01,4.394616830306082420e+02
2.178252718797610565e-01,4.360838835084825860e+02
2.208932334555323285e-01,4.340752671089752539e+02
2.239611950313036004e-01,4.327217296861068121e+02
2.270291566070749001e-01,4.318909746789270798e+02
2.300971181828461720e-01,4.310691134687388626e+02
2.331650797586174440e-01,4.305647577711083613e+02
2.362330413343887436e-01,4.302692675854721642e+02
2.393010029101600156e-01,4.301717434748410938e+02
2.423689644859313153e-01,4.294930163747043252e+02
2.454369260617025872e-01,4.297948561853883120e+02
2.485048876374738591e-01,4.295627736795584042e+02
2.515728492132451311e-01,4.294341037203664087e+02
2.546408107890164585e-01,4.297767878361763678e+02
2.577087723647877304e-01,4.301194719519863270e+02
2.607767339405590024e-01,4.315026281890750965e+02
2.638446955163302743e-01,4.325969463647006705e+02
2.669126570921015462e-01,4.336988432614525664e+02
2.699806186678728182e-01,4.359658459707795259e+02
2.730485802436441456e-01,4.400903650495424699e+02
2.761165418194154175e-01,4.430677534625037310e+02
2.791845033951866895e-01,4.479124115338741490e+02
2.822524649709579614e-01,4.529244923701648418e+02
2.853204265467292333e-01,4.568718291507843787e+02
2.883883881225005608e-01,4.594540554751666264e+02
2.914563496982718327e-01,4.630142746854474467e+02
2.945243112740431046e-01,4.665498522734176277e+02
2.975922728498143766e-01,4.709997466078095272e+02
3.006602344255856485e-01,4.751604873920178420e+02
3.037281960013569759e-01,4.781636860002119533e+02
3.067961575771282479e-01,4.832257857989684453e+02
3.098641191528995198e-01,4.846910435167539504e+02
3.129320807286707917e-01,4.875924460851176150e+02
3.160000423044420637e-01,4.889767213081555610e+02
3.190680038802133911e-01,4.896315221614001416e+02
3.221359654559846630e-01,4.901313840067932688e+02
3.252039270317559350e-01,4.906312458521864528e+02
3.282718886075272069e-01,4.901618487565362443e+02
3.313398501832984788e-01,4.905991852969441993e+02
3.344078117590697508e-01,4.902676567835690662e+02
3.374757733348410782e-01,4.903277820355563108e+02
3.405437349106123501e-01,4.896092885957858698e+02
3.436116964863836221e-01,4.895294394061074286e+02
3.466796580621548940e-01,4.905322997444059183e+02
3.497476196379261659e-01,4.906088615407074371e+02
3.528155812136974934e-01,4.901021318347858369e+02
3.558835427894687653e-01,4.899990997240759043e+02
3.589515043652400372e-01,4.885371761133505970e+02
3.620194659410113092e-01,4.870838579640242187e+02
3.650874275167825811e-01,4.856390633590748394e+02
3.681553890925538530e-01,4.837762160551332045e+02
3.712233506683251805e-01,4.812304324639727611e+02
3.742913122440964524e-01,4.787506992814817295e+02
3.773592738198677243e-01,4.746387814372781691e+02
3.804272353956389963e-01,4.705268635930745518e+02
3.834951969714102682e-01,4.664149457488709345e+02
3.865631585471815956e-01,4.623030279046672604e+02
3.896311201229528676e-01,4.600274003011932109e+02
3.926990816987241395e-01,4.553420170588179303e+02
3.957670432744954114e-01,4.493299140398614782e+02
3.988350048502666834e-01,4.462276638635087238e+02
4.019029664260380108e-01,4.418571842566024088e+02
4.049709280018092827e-01,4.380167931224266340e+02
4.080388895775805547e-01,4.343319124820145021e+02
